Wijk,sdnn_1,rmssd_1,nn50_1,pnn50_1,sdnn_2,rmssd_2,nn50_2,pnn50_2,HR1,HR2,MinHR1,MinHR2,MaxHR1,MaxHR2,STDHR1,STDHR2,HR Diff,mvc Bloeddruk (Bovendruk) 1,mvc Bloeddruk (Bovendruk) 2,mvc Cholesterol 1,mvc Cholesterol 2,mvc Non-HDL 1,mvc Non-HDL 2,mvc Bloedsuiker 1,mvc Bloedsuiker 2,mvc BMI 1,mvc BMI 2,c BD 1 gem,c BD 2 gem,c chol1 gem,c chol2 gem,c bs1 gem,c bs2 gem,c bmi1 gem,c bmi2 gem
Bijlmer-Centrum,47.858313080265475,79.18655065048337,5,3.2679738562091507,161.50105886137658,257.5545249715744,86,62.31884057971014,71.08766337662337,69.31151179856114,69.200005,66.200005,84.200005,73.700005,1.7984499396861595,1.517438981203677,-1.7761515780622261,<120,<120,5-6.5,<5,<3.8,>3.8,<7.8,<7.8,18.5-25,25-30,1.0,1.14,1.51,1.35,1.0,1.81,2.6,3.36
Bijlmer-Oost,29.743917306301586,15.156837721956705,1,0.6756756756756757,792.6855397256442,1081.9571889384774,49,53.2608695652174,74.93355805369127,70.54623779569891,71.3,66.200005,80.5,76.5,2.367734005813942,3.060994418133561,-4.387320257992357,<120,140-180,<5,>8,<3.8,<3.8,>11.1,<7.8,25-30,25-30,1.0,2.21,1.0,3.55,2.71,1.0,2.15,3.6
Bijlmer-West,868.2176871696207,962.8510370588056,36,39.130434782608695,47.399412608433856,61.71359490914599,12,10.16949152542373,64.9612911827957,60.090756705882335,58.0,56.8,74.200005,63.8,5.03932522263769,1.5380481820609708,-4.87053447691337,140-180,<120,5-6.5,5-6.5,>3.8,<3.8,>11.1,<7.8,25-30,25-30,2.35,1.0,2.35,2.33,3.4,1.0,2.18,3.06
Bos en Lommer,375.78789270679135,568.7206695733855,47,34.81481481481482,530.3372111422351,692.3615900875578,40,35.714285714285715,83.26250113970588,72.09911588495575,73.3,63.2,86.200005,85.0,1.9954742787685,8.013008018591306,-11.163385254750125,<120,<120,<5,6.5-8,>3.8,>3.8,<7.8,7.8-11,18.5-25,18.5-25,1.06,1.32,1.32,3.52,1.0,2.42,1.59,1.15
"Buitenveldert, Zuidas",50.395644094056934,51.285170124498904,3,1.8072289156626504,182.20809399408648,217.95755642527675,22,15.827338129496402,79.21976122754491,68.24571484285714,72.8,61.100002,84.1,81.5,2.08324464619522,5.191406259241451,-10.974046384687767,120-140,140-180,<5,6.5-8,<3.8,<3.8,<7.8,<7.8,18.5-25,18.5-25,1.4,2.29,1.0,3.19,1.65,1.24,2.36,1.25
Centrum-Oost,126.777201714105,184.96455434389682,68,51.515151515151516,45.571783726729336,38.016686551774065,3,2.013422818791946,71.40902357142858,91.48933410000001,64.700005,74.4,79.1,107.6,3.5855655184498856,6.39832338398805,20.08031052857143,<120,<120,<5,<5,>3.8,<3.8,<7.8,7.8-11,>30,18.5-25,1.0,1.0,1.0,1.13,1.52,1.1,3.79,2.72
Centrum-West,25.686224907248327,15.709945741777114,1,0.5988023952095809,30.285721024258006,28.306990555085758,4,8.16326530612245,79.74226291666666,62.63482762,75.6,59.768322,85.6,66.200005,2.427055467056034,1.4462423943693892,-17.107435296666658,120-140,120-140,<5,<5,<3.8,<3.8,7.8-11,7.8-11,18.5-25,>30,1.43,1.85,1.07,1.0,1.43,1.75,2.88,4.0
"De Aker, Sloten, Nieuw-Sloten",87.73492117419737,76.26620046477558,32,53.333333333333336,233.77169931408454,337.244338113694,28,35.8974358974359,64.63934518032788,74.51519031645569,60.100002,70.5,74.5,79.700005,3.7069882167875745,2.555943049626285,9.875845136127808,<120,<120,<5,<5,>3.8,>3.8,>11.1,7.8-11,25-30,18.5-25,1.0,1.87,1.0,1.77,2.64,1.15,2.6,1.82
"De Pijp, Rivierenbuurt",27.430839301185113,22.26649669346303,4,3.125,379.4254262949076,567.3485552793538,10,9.345794392523365,66.73333405426358,56.76111153703704,62.100002,54.600002,80.0,65.5,4.6630584014369045,2.4489111558026067,-9.972222517226541,<120,140-180,<5,<5,<3.8,<3.8,<7.8,<7.8,18.5-25,25-30,1.0,2.24,1.87,1.0,1.71,1.37,2.4,3.4
Gaasperdam,1626.471835027273,2078.881323105183,37,51.388888888888886,22.675994506660295,9.548721495141683,0,0.0,65.96027434246577,74.33061350340135,58.7,70.3,74.1,78.200005,5.293096461778476,1.8749840393332031,8.370339160935586,120-140,<120,5-6.5,5-6.5,<3.8,<3.8,7.8-11,7.8-11,18.5-25,<18.5,2.22,1.18,2.03,2.52,2.86,2.12,1.53,1.77
"Geuzenveld, Slotermeer",1050.9225697543316,1475.6769294123967,16,80.0,28.73566201786445,10.315037566582102,0,0.0,83.79523809523809,81.47160555555556,83.1,77.200005,84.0,87.5,0.2991257101557664,3.1506838924227027,-2.323632539682535,<120,<120,<5,5-6.5,>3.8,>3.8,<7.8,<7.8,>30,<18.5,1.56,1.5,1.18,2.87,1.32,1.0,4.0,1.0
"IJburg, Zeeburgereiland",8500.3205959148,9839.791353930677,9,100.0,184.15493068388932,249.44140769530603,34,26.984126984126984,82.200005,64.53464634645671,82.200005,59.4,82.200005,72.4,1.4979556132593925e-14,3.091241721914419,-17.665358653543294,<120,120-140,<5,<5,<3.8,>3.8,7.8-11,7.8-11,18.5-25,25-30,1.0,1.38,1.76,1.0,2.04,2.56,2.18,2.61
"Indische Buurt, Oostelijk Havengebied",10737.485146403267,12518.130767677203,9,75.0,116.10440089974006,112.57703410374133,22,13.924050632911392,101.5,78.01195062893082,101.5,70.6,101.5,101.5,0.0,6.415915129046008,-23.48804937106918,<120,140-180,5-6.5,<5,>3.8,>3.8,<7.8,<7.8,>30,18.5-25,1.32,2.4,1.84,1.0,1.13,1.34,4.0,1.32
Noord-Oost,8095.9097084508785,4489.36763364285,5,17.857142857142858,156.05084425849427,165.46581973326093,28,17.5,81.0862074137931,76.10186419254659,78.5,71.8,83.4,82.0,1.3330210207923667,2.2807198801738635,-4.984343221246519,<120,<120,5-6.5,<5,<3.8,<3.8,<7.8,<7.8,18.5-25,25-30,1.29,1.0,2.58,1.86,1.0,1.28,2.13,2.31
Noord-West,29.00225356407137,24.327446321999417,5,2.3696682464454977,230.99697241700545,225.0340950812667,15,9.554140127388536,105.64151040094337,82.88671009493672,98.4,80.200005,112.4,87.5,2.645997241621517,1.3730387884535242,-22.754800306006658,<120,<120,<5,<5,<3.8,<3.8,7.8-11,7.8-11,25-30,25-30,1.57,1.0,1.0,1.0,1.28,1.2,3.17,3.36
Osdorp,156.35786438865404,226.0536115484945,9,13.23529411764706,321.7034027875356,428.2269091431384,24,38.095238095238095,77.23043594202899,75.78593828125,70.200005,72.6,81.3,78.6,2.4281014493513475,1.323039610898827,-1.4444976607789926,<120,<120,<5,<5,<3.8,<3.8,<7.8,<7.8,18.5-25,18.5-25,1.0,1.0,1.15,1.16,1.74,1.0,1.77,2.25
Oud-Noord,120.90624319543306,120.88194424497169,28,23.931623931623932,1807.5073067909202,2156.9497931700707,23,58.97435897435898,58.23050896610169,63.097500325,56.100002,57.0,63.600002,87.1,1.486262312357273,10.437297205234003,4.866991358898311,<120,120-140,<5,6.5-8,<3.8,<3.8,<7.8,7.8-11,18.5-25,25-30,1.37,2.3,1.25,2.22,1.37,1.38,1.53,3.7
Oud-Oost,137.79568063626263,141.1998905485025,32,20.77922077922078,177.6242750160842,195.858582695741,19,12.337662337662337,73.66129141935484,80.65871064516128,68.700005,77.3,83.700005,86.3,1.894331505117851,2.243281078154296,6.997419225806439,120-140,140-180,6.5-8,>8,<3.8,<3.8,<7.8,7.8-11,18.5-25,>30,2.28,3.2,3.55,4.0,1.43,2.88,2.69,4.0
"Oud-West, De Baarsjes",187.07898004716063,261.73958019974214,18,11.76470588235294,16.127681499606936,22.584737141680307,3,1.507537688442211,82.25129957792207,99.20700122499998,76.700005,78.3,87.700005,103.9,2.364504212855642,4.977583252243977,16.955701647077916,120-140,140-180,<5,<5,<3.8,<3.8,<7.8,<7.8,25-30,18.5-25,2.32,2.64,1.47,1.0,1.0,1.74,3.2,2.87
Oud-Zuid,2409.5907249279576,2364.4955034669642,63,88.73239436619718,27.74484033883004,12.614877531515521,1,0.6756756756756757,80.25425845833333,75.0591805704698,39.888138,71.4,127.611115,83.3,22.361071943870193,2.5606513299538567,-5.195077887863519,<120,<120,<5,<5,<3.8,<3.8,<7.8,<7.8,18.5-25,18.5-25,1.1,1.0,1.0,1.0,1.77,1.29,2.63,2.05
Sloterdijk Nieuw-West,1183.3871348389148,1530.8379474747062,53,94.64285714285714,126.04345713451276,108.00740715339852,11,13.750000000000002,68.58070289473685,77.12716166666665,67.0,63.8,70.8,84.6,1.1341192495157957,6.239290981106598,8.546458771929807,<120,120-140,5-6.5,<5,<3.8,<3.8,<7.8,7.8-11,18.5-25,18.5-25,1.44,2.65,2.64,1.33,1.0,1.36,2.46,2.5
Slotervaart,72.70478546150387,54.12832772281964,47,32.41379310344827,40.46285004226843,35.12409611163787,19,13.47517730496454,74.13835736301368,72.15140926056337,65.1,67.4,84.8,77.5,4.75885011614872,1.7242833941402396,-1.986948102450313,<120,120-140,<5,5-6.5,<3.8,>3.8,<7.8,>11.1,25-30,18.5-25,1.77,2.63,1.45,1.53,1.37,3.75,3.39,2.27
Watergraafsmeer,2635.7527793741383,3270.5595647635996,28,93.33333333333333,113.61702319722626,149.65906253882522,13,6.5,46.05161309677419,95.90497567661691,42.8,38.4,48.4,104.6,2.0053047144635707,15.488523984739745,49.853362579842724,<120,<120,<5,<5,>3.8,<3.8,7.8-11,<7.8,>30,18.5-25,1.73,1.76,1.63,1.0,1.15,1.0,3.93,1.16
"Weesp, Driemond",115.07475700669511,129.64379292306387,66,57.391304347826086,149.42619288941248,212.45802163934434,16,10.95890410958904,61.412069844827585,75.19319792517007,54.4,60.2,85.700005,80.5,9.53619446283087,5.2417016239839125,13.781128080342484,120-140,<120,6.5-8,6.5-8,>3.8,>3.8,<7.8,7.8-11,>30,25-30,1.28,1.42,3.61,3.35,1.08,1.53,3.11,2.46
Westerpark,59.46236746284917,48.21968078159476,39,35.77981651376147,43.96258886665065,39.38382554153055,24,17.142857142857142,57.98909146363636,70.62766032624113,53.5,55.4,72.0,81.700005,4.750477385592609,6.4863716716535595,12.638568862604764,<120,<120,>8,5-6.5,<3.8,>3.8,<7.8,7.8-11,18.5-25,18.5-25,1.0,1.0,4.0,1.74,1.48,1.76,1.65,2.18
